team_abbr,stadium_name,altitude_ft,crowd_noise_score,fan_hostility_score,weather_snow_index,weather_rain_index,indoor,notes
ARI,State Farm Stadium,1050,0.45,0.35,0.05,0.10,1,"Retractable-roof venue; heat managed with roof/AC."
ATL,Mercedes-Benz Stadium,1026,0.55,0.40,0.05,0.15,1,"Loud roofed stadium with SKOL-style pump; otherwise climate controlled."
BAL,M&T Bank Stadium,30,0.60,0.60,0.40,0.50,0,"Open-air on the harbor; cool winds and engaged crowd with ritual intros."
BUF,Highmark Stadium,600,0.80,0.80,1.00,0.70,0,"Bills Mafia tailgates in snow and wind; frequent lake-effect weather."
CAR,Bank of America Stadium,750,0.45,0.40,0.10,0.35,0,"Humid southern climate; fan noise moderate."
CHI,Soldier Field,600,0.55,0.55,0.80,0.60,0,"Lakefront winds, cold snaps, and history fuel a difficult winter venue."
CIN,Paycor Stadium,482,0.50,0.45,0.35,0.50,0,"Riverfront humidity; renewed fan energy under Burrow."
CLE,Cleveland Browns Stadium,600,0.55,0.60,0.80,0.60,0,"Lake Erie gusts and cold create a punishing environment."
DAL,AT&T Stadium,430,0.50,0.45,0.05,0.20,0,"Climate-controlled most games; noise disperses in expansive bowl."
DEN,Empower Field at Mile High,5280,0.65,0.50,0.50,0.30,0,"Thin air taxes opponents with altitude sickness; cold, dry winters."
DET,Ford Field,600,0.70,0.50,0.05,0.10,1,"Revived Lions fan base now creates consistent indoor noise."
GB,Lambeau Field,640,0.60,0.60,0.90,0.50,0,"Historic frozen tundra—cold, snow, and swirling winds advantage Packers."
HOU,NRG Stadium,80,0.45,0.35,0.05,0.25,1,"Retractable roof; hot, humid conditions when open."
IND,Lucas Oil Stadium,720,0.50,0.35,0.05,0.10,1,"Controlled climate; crowd volume moderate."
JAX,TIAA Bank Field,16,0.40,0.30,0.05,0.45,0,"Heat and humidity primary factors; crowd intensity fluctuates."
KC,GEHA Field at Arrowhead Stadium,1063,1.00,0.90,0.35,0.45,0,"World-record 142.2 dB crowd; tailgating culture and bitter winters."
LAC,SoFi Stadium (Chargers),130,0.40,0.35,0.05,0.10,1,"Shared venue; visiting fans often dilute noise edge."
LAR,SoFi Stadium (Rams),130,0.45,0.40,0.05,0.10,1,"Covered design dampens weather; crowd energy improving."
LV,Allegiant Stadium,620,0.50,0.45,0.05,0.05,1,"Desert climate, fully enclosed; fan mix includes tourists."
MIA,Hard Rock Stadium,8,0.50,0.45,0.05,0.65,0,"Steamy humidity and sun on visitors' sideline sap energy."
MIN,U.S. Bank Stadium,840,0.85,0.70,0.05,0.10,1,"Skol chant reverberates indoors; purple-drenched environment unnerving."
NE,Gillette Stadium,289,0.55,0.55,0.70,0.55,0,"Windy Foxborough winters, knowledgeable fan base, cold drizzle common."
LA,Los Angeles (unspecified),130,0.43,0.37,0.05,0.10,1,"Fallback entry when data sources omit Rams/Chargers split; treated as neutral SoFi profile."
NO,Caesars Superdome,20,0.75,0.60,0.05,0.15,1,"Party-like atmosphere sustains relentless noise inside the dome."
NYG,MetLife Stadium (Giants),16,0.50,0.55,0.55,0.55,0,"Meadowlands winds swirl; passionate NFC East rivalries elevate intensity."
NYJ,MetLife Stadium (Jets),16,0.45,0.45,0.55,0.55,0,"Shared venue; weather identical to Giants but crowd edge smaller."
PHI,Lincoln Financial Field,39,0.80,0.95,0.50,0.60,0,"Famously hostile Eagles fans keep pressure on opponents."
PIT,Acrisure Stadium,750,0.70,0.70,0.60,0.60,0,"'Renegade' tradition spikes noise; riverside weather can be brutal."
SEA,Lumen Field,20,0.95,0.70,0.10,0.80,0,"Architectural design traps sound; rain enhances slick conditions."
SF,Levi's Stadium,8,0.45,0.40,0.05,0.20,0,"Mild Bay Area climate; crowd energy strong during playoff pushes."
TB,Raysmond James Stadium,26,0.40,0.35,0.05,0.60,0,"Humidity and thunderstorms; pirate cannon adds flair."
TEN,Nissan Stadium,430,0.45,0.40,0.15,0.45,0,"Variable weather along the Cumberland; crowd intensity modest."
WAS,Commanders Field,80,0.40,0.35,0.40,0.45,0,"Aging venue dampens noise; weather swings from humid to wintry."
